WordId,Word,TestId,Stem
0,issue,3,issu
1,modify,3,modifi
2,establish,3,establish
3,concept,3,concept
4,overall,3,overal
5,assess,3,assess
6,whereas,3,wherea
7,predict,3,predict
8,adjust,3,adjust
9,approach,3,approach
10,contrast,3,contrast
11,method,3,method
12,instance,3,instanc
13,substitute,3,substitut
14,fundamental,3,fundament
15,adequate,3,adequ
16,context,3,context
17,stress,3,stress
18,sufficient,3,suffici
19,consume,3,consum
20,register,3,regist
21,nevertheless,3,nevertheless
22,Magoosh TOEFL,3,magoosh toefl
23,select,3,select
24,hence,3,henc
25,brief,3,brief
26,accurate,3,accur
27,theory,3,theori
28,identify,3,identifi
29,feature,3,featur
30,project,3,project
31,despite,3,despit
32,furthermore,3,furthermor
33,constant,3,constant
34,hypothesis,3,hypothesi
35,capable,3,capabl
36,analyze,3,analyz
37,significant,3,signific
38,function,3,function
39,restrict,3,restrict
40,involve,3,involv
41,indicate,3,indic
42,emphasize,3,emphas
43,investigate,3,investig
44,demonstrate,3,demonstr
45,trend,3,trend
46,lecture,3,lectur
47,data,3,data
48,assume,3,assum
49,illustrate,3,illustr
50,require,3,requir
51,react,3,react
52,complex,3,complex
53,comment,3,comment
54,achieve,3,achiev
55,participate,3,particip
56,expand,3,expand
57,obvious,3,obviou
58,maximize,3,maxim
59,respond,3,respond
60,acquire,3,acquir
61,affect,3,affect
62,period,3,period
63,challenge,3,challeng
64,available,3,avail
65,occur,3,occur
66,assist,3,assist
67,transfer,3,transfer
68,consequence,3,consequ
69,evident,3,evid
70,access,3,access
71,relevant,3,relev
72,conduct,3,conduct
73,section,3,section
74,specify,3,specifi
75,region,3,region
76,previous,3,previou
77,mental,3,mental
78,minor,3,minor
79,source,3,sourc
80,circumstance,3,circumst
81,research,3,research
82,reject,3,reject
83,resolve,3,resolv
84,remove,3,remov
85,maintain,3,maintain
86,construct,3,construct
87,imply,3,impli
88,Magoosh TOEFL Blog,3,magoosh toefl blog
89,contact,3,contact
90,culture,3,cultur
91,individual,3,individu
92,resource,3,resourc
93,strategy,3,strategi
94,physical,3,physic
95,evaluate,3,evalu
96,occupy,3,occupi
97,focus,3,focu
98,label,3,label
99,primary,3,primari
100,major,3,major
101,rely,3,reli
102,potential,3,potenti
103,annual,3,annual
104,debate,3,debat
105,shift,3,shift
106,labor,3,labor
107,contribute,3,contribut
108,vary,3,vari
109,range,3,rang
110,site,3,site
111,interpret,3,interpret
112,notion,3,notion
113,link,3,link
114,aware,3,awar
115,philosophy,3,philosophi
116,network,3,network
117,equivalent,3,equival
118,distribute,3,distribut
119,obtain,3,obtain
120,role,3,role
121,attitude,3,attitud
122,estimate,3,estim
123,enable,3,enabl
124,invest,3,invest
125,attribute,3,attribut
126,expose,3,expos
127,correspond,3,correspond
128,tradition,3,tradit
129,status,3,statu
130,conflict,3,conflict
131,prior,3,prior
132,distinct,3,distinct
133,sustain,3,sustain
134,Magoosh Free Trial,3,magoosh free tri
135,regulate,3,regul
136,concentrate,3,concentr
137,considerable,3,consider
138,decline,3,declin
139,alternative,3,altern
140,reside,3,resid
141,benefit,3,benefit
142,community,3,commun
143,layer,3,layer
144,administration,3,administr
145,secure,3,secur
146,internal,3,intern
147,authority,3,author
148,stable,3,stabl
149,absent,3,absent
150,downfall,3,downfal
151,consent,3,consent
152,migrate,3,migrat
153,prestigious,3,prestigi
154,hazard,3,hazard
155,gratify,3,gratifi
156,linger,3,linger
157,impose,3,impos
158,persist,3,persist
159,compel,3,compel
160,specimen,3,specimen
161,hierarchy,3,hierarchi
162,foster,3,foster
163,defective,3,defect
164,ornamental,3,ornament
165,advocate,3,advoc
166,overwhelm,3,overwhelm
167,momentum,3,momentum
168,drawback,3,drawback
169,reconcile,3,reconcil
170,endeavor,3,endeavor
171,convey,3,convey
172,complement,3,complement
173,readily,3,readili
174,rigid,3,rigid
175,controversy,3,controversi
176,ambiguous,3,ambigu
177,scarce,3,scarc
178,coherent,3,coher
179,tint,3,tint
180,era,3,era
181,deter,3,deter
182,via,3,via
183,emit,3,emit
184,perpetual,3,perpetu
185,overcome,3,overcom
186,constraint,3,constraint
187,tentative,3,tent
188,elegant,3,eleg
189,culminate,3,culmin
190,concede,3,conced
191,displace,3,displac
192,convoluted,3,convolut
193,bulky,3,bulki
194,vast,3,vast
195,conform,3,conform
196,warp,3,warp
197,overlap,3,overlap
198,preemptive,3,preemptiv
199,extract,3,extract
200,eccentric,3,eccentr
201,indifference,3,indiffer
202,persevere,3,persever
203,courteous,3,courteou
204,sketch,3,sketch
205,distort,3,distort
206,conducive,3,conduc
207,coincide,3,coincid
208,extravagant,3,extravag
209,crude,3,crude
210,roam,3,roam
211,abrupt,3,abrupt
212,abundant,3,abund
213,shimmer,3,shimmer
214,defiant,3,defiant
215,disparate,3,dispar
216,trigger,3,trigger
217,extinct,3,extinct
218,demolish,3,demolish
219,revolutionary,3,revolutionari
220,provided,3,provid
221,complementary,3,complementari
222,controversial,3,controversi
223,integral,3,integr
224,inclination,3,inclin
225,protocol,3,protocol
226,robust,3,robust
227,widespread,3,widespread
228,endure,3,endur
229,mend,3,mend
230,disperse,3,dispers
231,foe,3,foe
232,resent,3,resent
233,cling,3,cling
234,durable,3,durabl
235,impending,3,impend
236,persistent,3,persist
237,stunning,3,stun
238,devoid,3,devoid
239,obscure,3,obscur
240,impartial,3,imparti
241,dusk,3,dusk
242,impede,3,imped
243,deduce,3,deduc
244,phase,3,phase
245,retain,3,retain
246,welfare,3,welfar
247,exclude,3,exclud
248,derive,3,deriv
249,generate,3,gener
250,impact,3,impact
251,principle,3,principl
252,component,3,compon
253,pursue,3,pursu
254,entity,3,entiti
255,coordinate,3,coordin
256,monitor,3,monitor
257,perspective,3,perspect
258,integrate,3,integr
259,seek,3,seek
260,orient,3,orient
261,consist,3,consist
262,external,3,extern
263,emerge,3,emerg
264,constitute,3,constitut
265,framework,3,framework
266,commit,3,commit
267,diverse,3,divers
268,enforce,3,enforc
269,criteria,3,criteria
270,discrete,3,discret
271,valid,3,valid
272,justify,3,justifi
273,perceive,3,perceiv
274,aspect,3,aspect
275,core,3,core
276,capacity,3,capac
277,constrain,3,constrain
278,institute,3,institut
279,policy,3,polici
280,apparent,3,appar
281,facilitate,3,facilit
282,grant,3,grant
283,factor,3,factor
284,scheme,3,scheme
285,compensate,3,compens
286,Magoosh Video Lessons,3,magoosh video lesson
287,proportion,3,proport
288,subsequent,3,subsequ
289,underlying,3,underli
290,area,3,area
291,recede,3,reced
292,tedious,3,tediou
293,anomaly,3,anomali
294,fatigue,3,fatigu
295,sloping,3,slope
296,detrimental,3,detriment
297,secrete,3,secret
298,pale,3,pale
299,compulsory,3,compulsori
300,twilight,3,twilight
301,transitory,3,transitori
302,meticulous,3,meticul
303,dynamic,3,dynam
304,induce,3,induc
305,propagate,3,propag
306,congregate,3,congreg
307,strive,3,strive
308,rustic,3,rustic
309,exhaustive,3,exhaust
310,encroach,3,encroach
311,blunt,3,blunt
312,grave,3,grave
313,preposterous,3,preposter
314,delusion,3,delus
315,cherish,3,cherish
316,mundane,3,mundan
317,fraudulent,3,fraudul
318,illusory,3,illusori
319,astute,3,astut
320,analogous,3,analog
321,probe,3,probe
322,dissipate,3,dissip
323,covert,3,covert
324,entice,3,entic
325,perplex,3,perplex
326,instrumental,3,instrument
327,ailment,3,ailment
328,carve,3,carv
329,outgoing,3,outgo
330,jolt,3,jolt
331,incentive,3,incent
332,fluctuate,3,fluctuat
333,plead,3,plead
334,append,3,append
335,relic,3,relic
336,strenuous,3,strenuou
337,vanquish,3,vanquish
338,successor,3,successor
339,counterpart,3,counterpart
340,vivid,3,vivid
341,fracture,3,fractur
342,pivotal,3,pivot
343,endorse,3,endors
344,elicit,3,elicit
345,implausible,3,implaus
346,feasible,3,feasibl
347,scores,3,score
348,analogy,3,analog
349,obsolete,3,obsolet
350,outlook,3,outlook
351,consensus,3,consensu
352,superfluous,3,superflu
353,irrevocable,3,irrevoc
354,ragged,3,rag
355,invoke,3,invok
356,barren,3,barren
357,harness,3,har
358,brisk,3,brisk
359,striking,3,strike
360,serene,3,seren
361,remnant,3,remnant
362,futile,3,futil
363,eradicate,3,erad
364,waive,3,waiv
365,upheaval,3,upheav
366,profound,3,profound
367,affluent,3,affluent
368,potent,3,potent
369,turbulent,3,turbul
370,tenacious,3,tenaci
371,apprehension,3,apprehens
372,faint,3,faint
373,apathetic,3,apathet
374,intersperse,3,interspers
375,synthesize,3,synthes
376,derivative,3,deriv
377,clumsy,3,clumsi
378,rugged,3,rug
379,cozy,3,cozi
380,meager,3,meager
381,paradox,3,paradox
382,colossal,3,coloss
383,ingenuity,3,ingenu
384,prevail,3,prevail
385,viable,3,viabl
386,devise,3,devis
387,rural,3,rural
388,predominant,3,predomin
389,desist,3,desist
390,shred,3,shred
391,sheer,3,sheer
392,fasten,3,fasten
393,ensue,3,ensu
394,innate,3,innat
395,arduous,3,arduou
396,medium,3,medium
397,hue,3,hue
398,adjacent,3,adjac
399,refute,3,refut
400,confer,3,confer
401,stall,3,stall
402,esteem,3,esteem
403,elude,3,elud
404,intrinsic,3,intrins
405,conspicuous,3,conspicu
406,prevalent,3,preval
407,ominous,3,omin
408,oversee,3,overse
409,drowsy,3,drowsi
410,apathy,3,apathi
411,liable,3,liabl
412,calamity,3,calam
413,incline,3,inclin
414,proliferate,3,prolifer
415,secluded,3,seclud
416,vicarious,3,vicari
417,tame,3,tame
418,oblong,3,oblong
419,procure,3,procur
420,abstain,3,abstain
421,dreary,3,dreari
422,perpetuate,3,perpetu
423,blatant,3,blatant
424,fragrant,3,fragrant
425,plausible,3,plausibl
426,jagged,3,jag
427,comprise,3,compris
428,evade,3,evad
429,subsume,3,subsum
430,undermine,3,undermin
431,diffuse,3,diffus
432,thrive,3,thrive
